X-Axis	CC14_MI2_H2O_96mw
 2.822054026E+03	 1.285099976E+03
 2.825642924E+03	 1.284900024E+03
 2.829230152E+03	 1.273199951E+03
 2.832815713E+03	 1.286800049E+03
 2.836399607E+03	 1.286900024E+03
 2.839981835E+03	 1.292599976E+03
 2.843562400E+03	 1.287400024E+03
 2.847141301E+03	 1.292099976E+03
 2.850718541E+03	 1.297699951E+03
 2.854294120E+03	 1.287099976E+03
 2.857868040E+03	 1.298800049E+03
 2.861440302E+03	 1.294599976E+03
 2.865010906E+03	 1.307500000E+03
 2.868579855E+03	 1.292199951E+03
 2.872147149E+03	 1.298400024E+03
 2.875712790E+03	 1.299900024E+03
 2.879276779E+03	 1.295900024E+03
 2.882839116E+03	 1.298900024E+03
 2.886399803E+03	 1.303400024E+03
 2.889958842E+03	 1.308699951E+03
 2.893516233E+03	 1.296400024E+03
 2.897071978E+03	 1.298699951E+03
 2.900626077E+03	 1.301400024E+03
 2.904178533E+03	 1.304699951E+03
 2.907729346E+03	 1.303800049E+03
 2.911278517E+03	 1.299500000E+03
 2.914826047E+03	 1.302300049E+03
 2.918371938E+03	 1.307599976E+03
 2.921916191E+03	 1.295900024E+03
 2.925458807E+03	 1.298699951E+03
 2.928999787E+03	 1.305599976E+03
 2.932539133E+03	 1.301199951E+03
 2.936076845E+03	 1.289800049E+03
 2.939612924E+03	 1.295800049E+03
 2.943147373E+03	 1.298400024E+03
 2.946680191E+03	 1.301500000E+03
 2.950211381E+03	 1.299400024E+03
 2.953740943E+03	 1.300900024E+03
